ConsumerRecord(topic='AXAS', partition=0, offset=35, timestamp=1650521837256, timestamp_type=0, key=None, value=b'400', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=36, timestamp=1650521838362, timestamp_type=0, key=None, value=b'1400', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=37, timestamp=1650521839468, timestamp_type=0, key=None, value=b'563', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=38, timestamp=1650521840573, timestamp_type=0, key=None, value=b'600', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=39, timestamp=1650521841679, timestamp_type=0, key=None, value=b'500', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=40, timestamp=1650521842784, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=41, timestamp=1650521843892, timestamp_type=0, key=None, value=b'6474', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=42, timestamp=1650521844997, timestamp_type=0, key=None, value=b'521', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=43, timestamp=1650521846103, timestamp_type=0, key=None, value=b'200', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=44, timestamp=1650521847209, timestamp_type=0, key=None, value=b'6364', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
