timestamp,open,high,low,close,volume,trade_count,vwap
2021-11-03 15:25:00+00:00,10.06,10.07,10.06,10.065,1958900,75,10.060542
2021-11-03 15:26:00+00:00,10.065,10.07,10.06,10.065,437717,208,10.06858
2021-11-03 15:27:00+00:00,10.07,10.07,10.065,10.07,161737,95,10.069993
2021-11-03 15:28:00+00:00,10.07,10.07,10.06,10.07,1248845,443,10.069137
2021-11-03 15:29:00+00:00,10.07,10.08,10.06,10.07,1468039,138,10.064925
2021-11-03 15:30:00+00:00,10.07,10.08,10.07,10.07,346280,108,10.0701
2021-11-03 15:31:00+00:00,10.07,10.07,10.07,10.07,380840,84,10.07
2021-11-03 15:32:00+00:00,10.07,10.0701,10.07,10.07,378180,87,10.07
2021-11-03 15:33:00+00:00,10.07,10.07,10.06,10.07,103872,22,10.069966
2021-11-03 15:34:00+00:00,10.07,10.07,10.065,10.07,500600,48,10.069997
2021-11-03 15:35:00+00:00,10.07,10.07,10.06,10.07,132700,21,10.069857
2021-11-03 15:36:00+00:00,10.065,10.065,10.0601,10.0601,1100,2,10.060545
2021-11-03 15:37:00+00:00,10.065,10.07,10.06,10.07,950603,90,10.066792
2021-11-03 15:38:00+00:00,10.065,10.065,10.06,10.06,2350,20,10.064787
2021-11-03 15:39:00+00:00,10.06,10.06,10.06,10.06,3650,3,10.06
2021-11-03 15:40:00+00:00,10.06,10.07,10.06,10.06,888764,19,10.066677
2021-11-03 15:41:00+00:00,10.065,10.065,10.06,10.06,1363,12,10.063668
2021-11-03 15:42:00+00:00,10.065,10.07,10.06,10.065,67871,18,10.064778
2021-11-03 15:43:00+00:00,10.06,10.065,10.06,10.065,50864,18,10.060039
2021-11-03 15:44:00+00:00,10.06,10.065,10.06,10.06,150900,6,10.060003
2021-11-03 15:45:00+00:00,10.065,10.065,10.06,10.06,762,7,10.061969
2021-11-03 15:46:00+00:00,10.06,10.065,10.06,10.065,64644,12,10.061112
2021-11-03 15:47:00+00:00,10.065,10.07,10.065,10.07,317200,17,10.069729
2021-11-03 15:48:00+00:00,10.065,10.07,10.06,10.065,158896,40,10.061442
2021-11-03 15:49:00+00:00,10.065,10.07,10.065,10.07,154400,17,10.065447
2021-11-03 15:50:00+00:00,10.065,10.07,10.06,10.065,163664,20,10.060782
2021-11-03 15:51:00+00:00,10.065,10.07,10.065,10.07,66200,22,10.069834
2021-11-03 15:52:00+00:00,10.065,10.07,10.065,10.065,15164,27,10.069352
2021-11-03 15:53:00+00:00,10.065,10.07,10.065,10.07,64063,16,10.06994
2021-11-03 15:54:00+00:00,10.065,10.07,10.065,10.07,19200,18,10.06862
2021-11-03 15:55:00+00:00,10.065,10.07,10.065,10.07,10163,18,10.069526
2021-11-03 15:56:00+00:00,10.065,10.07,10.065,10.07,15500,27,10.06973
2021-11-03 15:57:00+00:00,10.065,10.07,10.065,10.07,12563,13,10.069776
2021-11-03 15:58:00+00:00,10.065,10.07,10.06,10.07,81463,54,10.064623
2021-11-03 15:59:00+00:00,10.065,10.065,10.065,10.065,2000,7,10.065
2021-11-03 16:00:00+00:00,10.065,10.065,10.065,10.065,764,6,10.065
2021-11-03 16:01:00+00:00,10.065,10.065,10.065,10.065,300,3,10.065
2021-11-03 16:02:00+00:00,10.065,10.065,10.065,10.065,963,8,10.065
2021-11-03 16:03:00+00:00,10.065,10.065,10.065,10.065,15700,30,10.065
2021-11-03 16:04:00+00:00,10.065,10.065,10.065,10.065,563,5,10.065
2021-11-03 16:05:00+00:00,10.065,10.07,10.065,10.07,1624790,392,10.067844
2021-11-03 16:06:00+00:00,10.07,10.075,10.07,10.07,68648,31,10.070033
2021-11-03 16:07:00+00:00,10.075,10.075,10.075,10.075,20000,2,10.075
2021-11-03 16:08:00+00:00,10.07,10.07,10.07,10.07,100,1,10.07
2021-11-03 16:09:00+00:00,10.07,10.07,10.07,10.07,563,5,10.07
2021-11-03 16:10:00+00:00,10.07,10.07,10.07,10.07,99363,20,10.07
2021-11-03 16:11:00+00:00,10.07,10.07,10.07,10.07,25500,11,10.07
2021-11-03 16:12:00+00:00,10.07,10.07,10.07,10.07,4563,19,10.07
2021-11-03 16:13:00+00:00,10.07,10.07,10.07,10.07,300,3,10.07
2021-11-03 16:14:00+00:00,10.07,10.07,10.07,10.07,662,6,10.07
2021-11-03 16:15:00+00:00,10.07,10.07,10.07,10.07,500,5,10.07
2021-11-03 16:16:00+00:00,10.07,10.07,10.07,10.07,118677,31,10.07
2021-11-03 16:17:00+00:00,10.07,10.07,10.07,10.07,6764,11,10.07
2021-11-03 16:18:00+00:00,10.07,10.07,10.07,10.07,288597,44,10.07
2021-11-03 16:19:00+00:00,10.07,10.07,10.07,10.07,964,9,10.07
2021-11-03 16:20:00+00:00,10.07,10.08,10.07,10.08,15600,10,10.07641
2021-11-03 16:21:00+00:00,10.07,10.07,10.07,10.07,663,6,10.07
2021-11-03 16:22:00+00:00,10.07,10.07,10.07,10.07,500,5,10.07
2021-11-03 16:23:00+00:00,10.07,10.07,10.07,10.07,763,7,10.07
2021-11-03 16:24:00+00:00,10.07,10.07,10.07,10.07,28764,13,10.07
2021-11-03 16:25:00+00:00,10.07,10.07,10.07,10.07,142500,17,10.07
2021-11-03 16:26:00+00:00,10.07,10.07,10.07,10.07,912,9,10.070274
2021-11-03 16:27:00+00:00,10.07,10.07,10.07,10.07,500,5,10.07
2021-11-03 16:28:00+00:00,10.07,10.07,10.07,10.07,8563,7,10.07
2021-11-03 16:29:00+00:00,10.07,10.07,10.07,10.07,763,7,10.07
2021-11-03 16:30:00+00:00,10.07,10.07,10.07,10.07,600,6,10.07
2021-11-03 16:31:00+00:00,10.07,10.07,10.07,10.07,664,6,10.07
2021-11-03 16:32:00+00:00,10.07,10.07,10.07,10.07,600,6,10.07
2021-11-03 16:33:00+00:00,10.07,10.07,10.07,10.07,664,6,10.07
2021-11-03 16:34:00+00:00,10.07,10.07,10.07,10.07,500,5,10.07
2021-11-03 16:35:00+00:00,10.07,10.07,10.07,10.07,864,8,10.07
2021-11-03 16:36:00+00:00,10.07,10.07,10.07,10.07,2481,8,10.07
2021-11-03 16:37:00+00:00,10.07,10.07,10.07,10.07,26230,16,10.07
2021-11-03 16:38:00+00:00,10.07,10.07,10.07,10.07,762,7,10.07
2021-11-03 16:39:00+00:00,10.07,10.0701,10.07,10.07,2440,8,10.070041
2021-11-03 16:40:00+00:00,10.07,10.07,10.07,10.07,663,6,10.07
2021-11-03 16:41:00+00:00,10.07,10.07,10.07,10.07,8363,11,10.07
2021-11-03 16:42:00+00:00,10.07,10.07,10.06,10.065,287318,63,10.069965
2021-11-03 16:43:00+00:00,10.06,10.065,10.06,10.065,463,4,10.06216
2021-11-03 16:44:00+00:00,10.065,10.065,10.06,10.06,300,3,10.061667
2021-11-03 16:45:00+00:00,10.06,10.06,10.06,10.06,512,5,10.060488
2021-11-03 16:46:00+00:00,10.06,10.065,10.06,10.065,1400,8,10.063929
2021-11-03 16:47:00+00:00,10.06,10.06,10.06,10.06,364,3,10.06
2021-11-03 16:48:00+00:00,10.06,10.065,10.06,10.065,1062,6,10.063296
2021-11-03 16:49:00+00:00,10.065,10.065,10.065,10.065,600,4,10.065
2021-11-03 16:50:00+00:00,10.065,10.065,10.065,10.065,863,7,10.065
2021-11-03 16:51:00+00:00,10.065,10.07,10.065,10.065,75600,12,10.06996
2021-11-03 16:52:00+00:00,10.065,10.065,10.06,10.06,763,4,10.063932
2021-11-03 16:53:00+00:00,10.065,10.065,10.06,10.06,764,7,10.063927
2021-11-03 16:54:00+00:00,10.065,10.065,10.065,10.065,200,2,10.065
2021-11-03 16:55:00+00:00,10.065,10.065,10.06,10.065,863,7,10.064056
