OCAXU,OHLC.OCAXU,601,232425
BRD.U,OHLC.BRD.U,500,219011
OACP,OHLC.OACP,162,190223
BOCN,OHLC.BOCN,118,1595474
VELO,OHLC.VELO,6481,991455
BWBBP,OHLC.BWBBP,418,226546
BOAS.U,OHLC.BOAS.U,1406,344138
BWAQ,OHLC.BWAQ,95,165762
BOB,OHLC.BOB,783,260609
OACB.U,OHLC.OACB.U,828,262796
OCTZ,OHLC.OCTZ,390,214273
ONG,OHLC.ONG,2046,540682
BRPMU,OHLC.BRPMU,1651,382057
BNIX,OHLC.BNIX,337,199759
OGCP,OHLC.OGCP,342,200548
BNOV,OHLC.BNOV,2367,473483
OALC,OHLC.OALC,946,280603
VEL,OHLC.VEL,9465,1349427
BSJS,OHLC.BSJS,1551,357571
BOAC.U,OHLC.BOAC.U,2080,438617
BTHM,OHLC.BTHM,510,218921
BRIVU,OHLC.BRIVU,1270,329882
WINN,OHLC.WINN,478,247298
CAS.U,OHLC.CAS.U,584,228138
BYTE,OHLC.BYTE,655,247405
ORIAU,OHLC.ORIAU,653,250161
BNOX,OHLC.BNOX,989,297840
ONEO,OHLC.ONEO,740,271960
AXAS,OHLC.AXAS,13944,1906996
ONBPO,OHLC.ONBPO,644,258041
BNE,OHLC.BNE,971,361463
OFSSH,OHLC.OFSSH,413,211666
OLIT,OHLC.OLIT,122,180178
BUFG,OHLC.BUFG,5304,1041152
VELOU,OHLC.VELOU,2361,487240
OCIO,OHLC.OCIO,547,229521
BNNR,OHLC.BNNR,715,249303
CCAI,OHLC.CCAI,372,216709
XRLV,OHLC.XRLV,908,713566
BSKY,OHLC.BSKY,1505,361274
BSJR,OHLC.BSJR,4681,752647
OBOR,OHLC.OBOR,999,292748
NZRO,OHLC.NZRO,177,190182
OBND,OHLC.OBND,246,231449
BNGE,OHLC.BNGE,131,175823
BSBE,OHLC.BSBE,1869,481171
CCTSU,OHLC.CCTSU,738,258154
CACG,OHLC.CACG,3729,622602
OND,OHLC.OND,563,229380
BYNOU,OHLC.BYNOU,757,269471
OPOF,OHLC.OPOF,1075,305771
BUFB,OHLC.BUFB,406,219549
BWAQU,OHLC.BWAQU,224,183188
OHAAU,OHLC.OHAAU,1170,302197
BOC,OHLC.BOC,5159,901478
BUYZ,OHLC.BUYZ,2507,498396
TMFM,OHLC.TMFM,1381,341680
AAPL,OHLC.AAPL,205540,24892726
VEGI,OHLC.VEGI,13126,2135586
WBIT,OHLC.WBIT,996,713467
BOCT,OHLC.BOCT,2841,545060
BSGAR,OHLC.BSGAR,1424,369299
BRLI,OHLC.BRLI,651,2528893
BSMU,OHLC.BSMU,627,246658
BUL,OHLC.BUL,932,265730
BWAQR,OHLC.BWAQR,79,172208
TMPMU,OHLC.TMPMU,266,196319
VTIQU,OHLC.VTIQU,3153,621927
TMAC.U,OHLC.TMAC.U,846,286950
BNNRU,OHLC.BNNRU,2003,441914
OHPA,OHLC.OHPA,1346,330894
CEFD,OHLC.CEFD,1217,431582
BUFF,OHLC.BUFF,4297,800407
VENAR,OHLC.VENAR,3995,641558
CCZ,OHLC.CCZ,599,241291
BREZR,OHLC.BREZR,1917,422504
BOCNU,OHLC.BOCNU,833,258408
CBLS,OHLC.CBLS,362,207644
CCNEP,OHLC.CCNEP,790,264800
OFED,OHLC.OFED,997,303491
VLU,OHLC.VLU,4518,722465
CBRG,OHLC.CBRG,184,180661
CDZIP,OHLC.CDZIP,1928,413081
OACB,OHLC.OACB,11838,1533635
ONYXU,OHLC.ONYXU,780,267183
IFMK,OHLC.IFMK,12038,1661026
VENAU,OHLC.VENAU,472,249079
BYN.U,OHLC.BYN.U,785,311599
BNDD,OHLC.BNDD,14264,1958857
CEFA,OHLC.CEFA,299,388805
BOAS,OHLC.BOAS,4088,734512
VIRS,OHLC.VIRS,458,222598
BNDC,OHLC.BNDC,2837,499015
OBCI,OHLC.OBCI,5011,761449
VEGN,OHLC.VEGN,3460,891501
BSGAU,OHLC.BSGAU,936,293677
ONBPP,OHLC.ONBPP,606,246974
OCC,OHLC.OCC,5857,958988
BNIXR,OHLC.BNIXR,391,512059
BNSO,OHLC.BNSO,5307,860412
CDX,OHLC.CDX,296,196962
OBT,OHLC.OBT,1267,314421
WNDY,OHLC.WNDY,661,248550
BYTSU,OHLC.BYTSU,750,579379
VENA,OHLC.VENA,4965,809318
BSAQ,OHLC.BSAQ,1971,446176
