CAS.U,OHLC.CAS.U,584,706096
BSKY,OHLC.BSKY,1505,842437
BREZR,OHLC.BREZR,1917,875105
OACP,OHLC.OACP,162,2232599
BWAQ,OHLC.BWAQ,95,472652
CBRG,OHLC.CBRG,184,499762
OCIO,OHLC.OCIO,547,646150
OGCP,OHLC.OGCP,342,243967
BNE,OHLC.BNE,971,372716
ONG,OHLC.ONG,2046,508054
CDX,OHLC.CDX,296,199840
OLIT,OHLC.OLIT,122,177070
BNGE,OHLC.BNGE,131,216110
BNDD,OHLC.BNDD,14264,2289019
OCAXU,OHLC.OCAXU,601,269649
BNSO,OHLC.BNSO,5307,800615
VENA,OHLC.VENA,4965,852318
VEL,OHLC.VEL,9465,1369120
WINN,OHLC.WINN,478,232739
BSGAU,OHLC.BSGAU,936,312569
CEFD,OHLC.CEFD,1217,375479
OBT,OHLC.OBT,1267,433274
VENAU,OHLC.VENAU,472,225669
BNDC,OHLC.BNDC,2837,876093
VEGN,OHLC.VEGN,3460,907742
OCC,OHLC.OCC,5857,1319219
VLU,OHLC.VLU,4518,1148596
OFSSH,OHLC.OFSSH,413,243025
ONEO,OHLC.ONEO,740,295727
OALC,OHLC.OALC,946,345179
OND,OHLC.OND,563,245453
CDZIP,OHLC.CDZIP,1928,490035
WBIT,OHLC.WBIT,996,428294
AXAS,OHLC.AXAS,13944,2282860
TMPMU,OHLC.TMPMU,266,191771
BRLI,OHLC.BRLI,651,511856
OACB.U,OHLC.OACB.U,828,489867
BOCT,OHLC.BOCT,2841,613025
VTIQU,OHLC.VTIQU,3153,604206
NZRO,OHLC.NZRO,177,176607
BRIVU,OHLC.BRIVU,1270,337561
TMAC.U,OHLC.TMAC.U,846,303541
BSJR,OHLC.BSJR,4681,934760
BOCN,OHLC.BOCN,118,209791
TMFM,OHLC.TMFM,1381,513856
BUFB,OHLC.BUFB,406,245389
BOAS,OHLC.BOAS,4088,781753
VELO,OHLC.VELO,6481,1224910
BUFF,OHLC.BUFF,4297,966061
BSMU,OHLC.BSMU,627,272106
WNDY,OHLC.WNDY,661,625208
BOCNU,OHLC.BOCNU,833,404625
BYTSU,OHLC.BYTSU,750,289343
OFED,OHLC.OFED,997,316097
ONBPO,OHLC.ONBPO,644,259073
BNIX,OHLC.BNIX,337,239677
ONYXU,OHLC.ONYXU,780,316184
BOC,OHLC.BOC,5159,926233
BYN.U,OHLC.BYN.U,785,297859
BWAQU,OHLC.BWAQU,224,230435
BOAC.U,OHLC.BOAC.U,2080,507887
ORIAU,OHLC.ORIAU,653,311797
BYTE,OHLC.BYTE,655,338828
IFMK,OHLC.IFMK,12038,1981556
OACB,OHLC.OACB,11838,1979126
OBOR,OHLC.OBOR,999,306281
ONBPP,OHLC.ONBPP,606,306853
BNNRU,OHLC.BNNRU,2003,488637
VIRS,OHLC.VIRS,458,228248
BNNR,OHLC.BNNR,715,288366
BYNOU,OHLC.BYNOU,757,296152
CCNEP,OHLC.CCNEP,790,280298
BRD.U,OHLC.BRD.U,500,238522
BWBBP,OHLC.BWBBP,418,227447
BNIXR,OHLC.BNIXR,391,213794
BSGAR,OHLC.BSGAR,1424,389290
BOB,OHLC.BOB,783,341491
BNOV,OHLC.BNOV,2367,500382
CACG,OHLC.CACG,3729,763646
OBCI,OHLC.OBCI,5011,897967
OHPA,OHLC.OHPA,1346,424508
VENAR,OHLC.VENAR,3995,744642
CCZ,OHLC.CCZ,599,308847
BSJS,OHLC.BSJS,1551,457636
VEGI,OHLC.VEGI,13126,2127800
OBND,OHLC.OBND,246,190915
BNOX,OHLC.BNOX,989,295586
OPOF,OHLC.OPOF,1075,292246
BTHM,OHLC.BTHM,510,1067826
BOAS.U,OHLC.BOAS.U,1406,1219789
BSAQ,OHLC.BSAQ,1971,1129962
BWAQR,OHLC.BWAQR,79,162295
OCTZ,OHLC.OCTZ,390,256758
BUFG,OHLC.BUFG,5304,957226
OHAAU,OHLC.OHAAU,1170,378614
BUYZ,OHLC.BUYZ,2507,553074
CEFA,OHLC.CEFA,299,200000
CBLS,OHLC.CBLS,362,200116
XRLV,OHLC.XRLV,908,274285
BSBE,OHLC.BSBE,1869,456421
CCTSU,OHLC.CCTSU,738,638363
BRPMU,OHLC.BRPMU,1651,690802
VELOU,OHLC.VELOU,2361,859188
CCAI,OHLC.CCAI,372,220215
BUL,OHLC.BUL,932,310556
AAPL,OHLC.AAPL,205540,26816098
