BSAQ,OHLC.BS,1971,399796
OBT,OHLC.OB,1267,371077
OBND,OHLC.OB,246,38723
BOB,OHLC.BO,783,247806
BYTE,OHLC.BY,655,243930
ONBPP,OHLC.ON,606,234481
BYTSU,OHLC.BY,750,108690
BSGAR,OHLC.BS,1424,173737
CCAI,OHLC.CC,372,210537
WBIT,OHLC.WB,996,292368
OHPA,OHLC.OH,1346,322439
BNE,OHLC.BN,971,279699
VIRS,OHLC.VI,458,218635
NZRO,OHLC.NZ,177,191066
CCTSU,OHLC.CC,738,110046
ONG,OHLC.ON,2046,298156
VLU,OHLC.VL,4518,707370
BNIXR,OHLC.BN,391,51574
OFED,OHLC.OF,997,276355
ONYXU,OHLC.ON,780,120142
BRPMU,OHLC.BR,1651,388622
BNGE,OHLC.BN,131,22641
OALC,OHLC.OA,946,285949
BUYZ,OHLC.BU,2507,524595
BRLI,OHLC.BR,651,106029
WINN,OHLC.WI,478,221914
BOCNU,OHLC.BO,833,125142
VEL,OHLC.VE,9465,1575067
CACG,OHLC.CA,3729,734611
BUFG,OHLC.BU,5304,637503
BOC,OHLC.BO,5159,735348
OFSSH,OHLC.OF,413,69498
CEFD,OHLC.CE,1217,332191
OCAXU,OHLC.OC,601,309666
BNIX,OHLC.BN,337,48852
OCC,OHLC.OC,5857,735828
VENA,OHLC.VE,4965,602948
BSBE,OHLC.BS,1869,216040
BWBBP,OHLC.BW,418,440283
BNNRU,OHLC.BN,2003,235359
BSJR,OHLC.BS,4681,576393
VENAR,OHLC.VE,3995,503174
BOCT,OHLC.BO,2841,371963
CCNEP,OHLC.CC,790,123380
BNSO,OHLC.BN,5307,626008
BWAQ,OHLC.BW,95,23603
BWAQR,OHLC.BW,79,16061
AXAS,OHLC.AX,13944,1779894
CEFA,OHLC.CE,299,48524
OCTZ,OHLC.OC,390,56124
TMPMU,OHLC.TM,266,198189
BNDD,OHLC.BN,14264,1566053
BSJS,OHLC.BS,1551,207693
VELO,OHLC.VE,6481,724957
ORIAU,OHLC.OR,653,250647
TMFM,OHLC.TM,1381,166406
ONBPO,OHLC.ON,644,99858
OCIO,OHLC.OC,547,79798
BYNOU,OHLC.BY,757,112431
IFMK,OHLC.IF,12038,1709575
OND,OHLC.ON,563,81968
CBLS,OHLC.CB,362,210480
BSGAU,OHLC.BS,936,111203
OGCP,OHLC.OG,342,581047
BRIVU,OHLC.BR,1270,175462
VTIQU,OHLC.VT,3153,601122
VEGN,OHLC.VE,3460,456380
OACP,OHLC.OA,162,28381
OACB.U,OHLC.OA,828,120740
BSMU,OHLC.BS,627,97693
OLIT,OHLC.OL,122,171484
BOCN,OHLC.BO,118,24864
BUFB,OHLC.BU,406,69717
OACB,OHLC.OA,11838,1731317
XRLV,OHLC.XR,908,406236
VENAU,OHLC.VE,472,75708
OBCI,OHLC.OB,5011,656535
CDZIP,OHLC.CD,1928,423826
OPOF,OHLC.OP,1075,324801
BNNR,OHLC.BN,715,98816
BOAS,OHLC.BO,4088,515032
BYN.U,OHLC.BY,785,105963
CCZ,OHLC.CC,599,81635
BOAS.U,OHLC.BO,1406,202331
WNDY,OHLC.WN,661,254574
BSKY,OHLC.BS,1505,227989
CBRG,OHLC.CB,184,28711
OHAAU,OHLC.OH,1170,172682
BNDC,OHLC.BN,2837,450322
BNOV,OHLC.BN,2367,390930
BNOX,OHLC.BN,989,157960
BRD.U,OHLC.BR,500,81357
AAPL,OHLC.AA,205540,24795256
BTHM,OHLC.BT,510,231250
ONEO,OHLC.ON,740,101761
BREZR,OHLC.BR,1917,292687
CDX,OHLC.CD,296,41808
BWAQU,OHLC.BW,224,32109
VELOU,OHLC.VE,2361,268637
OBOR,OHLC.OB,999,131930
VEGI,OHLC.VE,13126,1762695
TMAC.U,OHLC.TM,846,116861
BUFF,OHLC.BU,4297,585423
CAS.U,OHLC.CA,584,104615
BOAC.U,OHLC.BO,2080,259134
BUL,OHLC.BU,932,151583
