timestamp,open,high,low,close,volume,trade_count,vwap
2021-04-20 16:47:00+00:00,9.9999,9.9999,9.9999,9.9999,100,1,9.9999
2021-04-23 14:32:00+00:00,9.7418,9.7418,9.7418,9.7418,100,1,9.7418
2021-04-23 18:18:00+00:00,9.73,9.74,9.71,9.71,4600,11,9.711522
2021-04-23 18:23:00+00:00,9.97,9.97,9.97,9.97,1900,2,9.97
2021-04-26 13:30:00+00:00,9.97,9.97,9.97,9.97,469,2,9.969872
2021-04-26 13:48:00+00:00,9.9,9.97,9.9,9.97,250,2,9.942
2021-04-26 14:59:00+00:00,9.8557,9.8557,9.8557,9.8557,100,1,9.8557
2021-04-26 17:16:00+00:00,9.84,9.84,9.84,9.84,500,1,9.84
2021-04-27 13:30:00+00:00,9.97,9.97,9.97,9.97,112,1,9.97
2021-04-27 15:19:00+00:00,9.96,9.96,9.96,9.96,200,1,9.96
2021-04-27 16:58:00+00:00,9.96,9.96,9.96,9.96,149,3,9.96
2021-04-27 17:40:00+00:00,9.96,9.96,9.96,9.96,100,1,9.96
2021-04-27 17:45:00+00:00,9.96,9.96,9.9568,9.9568,2000,2,9.9584
2021-04-27 18:16:00+00:00,9.91,9.91,9.91,9.91,100,1,9.91
2021-04-27 19:31:00+00:00,9.8818,9.8818,9.8818,9.8818,501,2,9.881856
2021-04-27 19:36:00+00:00,9.8969,9.8969,9.8969,9.8969,100,1,9.8969
2021-04-27 19:57:00+00:00,9.8969,9.8969,9.8969,9.8969,103,2,9.896493
2021-04-28 17:09:00+00:00,9.8333,9.8333,9.8333,9.8333,100,1,9.8333
2021-04-29 13:30:00+00:00,9.9,9.9,9.77,9.77,216,5,9.832407
2021-04-29 13:40:00+00:00,9.77,9.77,9.7682,9.7682,400,6,9.7691
2021-04-29 13:51:00+00:00,9.77,9.77,9.77,9.77,2046,7,9.77
2021-04-29 14:46:00+00:00,9.73,9.73,9.73,9.73,400,2,9.73
2021-04-29 16:14:00+00:00,9.85,9.85,9.85,9.85,100,1,9.85
2021-04-29 16:56:00+00:00,9.8499,9.8499,9.8499,9.8499,101,2,9.849307
2021-04-29 16:59:00+00:00,9.77,9.77,9.77,9.77,3200,14,9.77
2021-04-29 17:06:00+00:00,9.75,9.75,9.75,9.75,100,1,9.75
2021-04-29 17:20:00+00:00,9.77,9.77,9.77,9.77,200,1,9.77
2021-04-29 17:52:00+00:00,9.73,9.73,9.73,9.73,506,6,9.730249
2021-04-29 17:53:00+00:00,9.72,9.72,9.71,9.71,5000,30,9.718
2021-04-29 17:54:00+00:00,9.73,9.73,9.7298,9.7298,1200,6,9.729967
2021-04-29 17:56:00+00:00,9.7285,9.7285,9.7285,9.7285,550,1,9.7285
2021-04-29 18:32:00+00:00,9.725,9.725,9.725,9.725,200,2,9.725
2021-04-29 18:46:00+00:00,9.73,9.73,9.73,9.73,3259,6,9.73
2021-04-29 19:36:00+00:00,9.725,9.725,9.72,9.72,7179,14,9.720763
2021-04-29 19:38:00+00:00,9.73,9.73,9.73,9.73,100,1,9.73
2021-04-29 19:50:00+00:00,9.73,9.73,9.73,9.73,100,1,9.73
2021-04-30 13:36:00+00:00,9.715,9.715,9.715,9.715,100,1,9.715
2021-04-30 14:51:00+00:00,9.7245,9.7245,9.7245,9.7245,100,1,9.7245
2021-05-03 15:32:00+00:00,9.74,9.74,9.71,9.71,2400,9,9.735892
2021-05-03 15:33:00+00:00,9.736,9.736,9.72,9.72,320,2,9.731
2021-05-03 16:22:00+00:00,9.7375,9.7375,9.7375,9.7375,1000,6,9.732225
2021-05-03 18:06:00+00:00,9.74,9.74,9.74,9.74,450,2,9.74
2021-05-03 18:07:00+00:00,9.75,9.75,9.75,9.75,384,3,9.75
2021-05-04 13:44:00+00:00,9.7101,9.7101,9.7101,9.7101,200,1,9.7101
2021-05-04 16:39:00+00:00,9.73,9.73,9.71,9.71,500,7,9.712
2021-05-04 18:12:00+00:00,9.75,9.75,9.75,9.75,597,1,9.75
2021-05-04 18:13:00+00:00,9.74,9.76,9.74,9.76,1232,8,9.753247
2021-05-04 19:42:00+00:00,9.8299,9.8299,9.8299,9.8299,100,1,9.8299
2021-05-05 15:39:00+00:00,9.75,9.75,9.75,9.75,80000,1,9.75
2021-05-06 13:30:00+00:00,9.83,9.83,9.83,9.83,109,1,9.83
2021-05-06 14:15:00+00:00,9.83,9.83,9.83,9.83,100,1,9.83
2021-05-06 18:55:00+00:00,9.7301,9.7301,9.7301,9.7301,110,1,9.7301
2021-05-06 19:17:00+00:00,9.75,9.75,9.75,9.75,105,2,9.75
2021-05-06 19:18:00+00:00,9.72,9.72,9.7,9.7,1995,3,9.705033
2021-05-06 19:19:00+00:00,9.72,9.72,9.72,9.72,100,1,9.72
2021-05-07 14:13:00+00:00,9.85,9.85,9.85,9.85,1500,7,9.846847
2021-05-07 15:48:00+00:00,9.75,9.75,9.75,9.75,400,2,9.75
2021-05-07 16:10:00+00:00,9.785,9.785,9.785,9.785,1500,1,9.785
2021-05-07 17:22:00+00:00,9.72,9.73,9.72,9.72,2000,10,9.722
2021-05-07 17:23:00+00:00,9.72,9.72,9.72,9.72,800,3,9.72
2021-05-07 17:30:00+00:00,9.74,9.74,9.74,9.74,201,1,9.74
2021-05-07 18:21:00+00:00,9.7434,9.7434,9.7434,9.7434,120,1,9.7434
2021-05-07 18:51:00+00:00,9.75,9.75,9.75,9.75,100,1,9.75
2021-05-07 18:54:00+00:00,9.72,9.735,9.72,9.72,340,4,9.724412
2021-05-07 19:39:00+00:00,9.72,9.72,9.7,9.7,7884,8,9.703855
2021-05-10 13:30:00+00:00,9.72,9.72,9.7062,9.7062,798,6,9.716692
2021-05-10 13:37:00+00:00,9.695,9.695,9.695,9.695,560,1,9.695
2021-05-10 13:44:00+00:00,9.65,9.65,9.65,9.65,400,6,9.651775
2021-05-10 13:46:00+00:00,9.7,9.7,9.69,9.69,630,4,9.698408
2021-05-10 13:53:00+00:00,9.7,9.7,9.7,9.7,1000,1,9.7
2021-05-10 13:55:00+00:00,9.69,9.69,9.69,9.69,402,2,9.689989
2021-05-10 15:08:00+00:00,9.7,9.7,9.7,9.7,439,4,9.7
2021-05-10 15:16:00+00:00,9.72,9.72,9.72,9.72,150,1,9.72
2021-05-10 15:56:00+00:00,9.71,9.71,9.71,9.71,100,1,9.71
2021-05-10 16:20:00+00:00,9.7102,9.7102,9.7102,9.7102,100,1,9.7102
2021-05-10 19:02:00+00:00,9.7074,9.7074,9.7074,9.7074,100,1,9.7074
